reading dataset
Dataset({
    features: ['input_ids', 'attention_mask', 'labels'],
    num_rows: 1472
})
{'loss': 3.4328, 'learning_rate': 4.9500000000000004e-05, 'epoch': 1.0}
{'loss': 1.9812, 'learning_rate': 1.9500000000000003e-05, 'epoch': 61.0}
{'loss': 1.9764, 'learning_rate': 1.9e-05, 'epoch': 62.0}
{'loss': 1.9803, 'learning_rate': 1.85e-05, 'epoch': 63.0}
{'loss': 1.9713, 'learning_rate': 1.8e-05, 'epoch': 64.0}
{'loss': 1.9737, 'learning_rate': 1.75e-05, 'epoch': 65.0}
{'loss': 1.9661, 'learning_rate': 1.7000000000000003e-05, 'epoch': 66.0}
{'loss': 1.9655, 'learning_rate': 1.65e-05, 'epoch': 67.0}
{'loss': 1.9653, 'learning_rate': 1.6000000000000003e-05, 'epoch': 68.0}
{'loss': 1.9597, 'learning_rate': 1.55e-05, 'epoch': 69.0}
{'loss': 1.9628, 'learning_rate': 1.5e-05, 'epoch': 70.0}
{'loss': 1.9584, 'learning_rate': 1.45e-05, 'epoch': 71.0}
{'loss': 1.9565, 'learning_rate': 1.4000000000000001e-05, 'epoch': 72.0}
{'loss': 1.9519, 'learning_rate': 1.3500000000000001e-05, 'epoch': 73.0}
{'loss': 1.9499, 'learning_rate': 1.3000000000000001e-05, 'epoch': 74.0}
{'loss': 1.9476, 'learning_rate': 1.25e-05, 'epoch': 75.0}
{'loss': 1.9463, 'learning_rate': 1.2e-05, 'epoch': 76.0}
{'loss': 1.9451, 'learning_rate': 1.1500000000000002e-05, 'epoch': 77.0}
{'loss': 1.9433, 'learning_rate': 1.1000000000000001e-05, 'epoch': 78.0}
{'loss': 1.943, 'learning_rate': 1.05e-05, 'epoch': 79.0}
{'loss': 1.9399, 'learning_rate': 1e-05, 'epoch': 80.0}
{'loss': 1.9367, 'learning_rate': 9.5e-06, 'epoch': 81.0}
{'loss': 1.9374, 'learning_rate': 9e-06, 'epoch': 82.0}
{'loss': 1.9359, 'learning_rate': 8.500000000000002e-06, 'epoch': 83.0}
{'loss': 1.9361, 'learning_rate': 8.000000000000001e-06, 'epoch': 84.0}
{'loss': 1.9349, 'learning_rate': 7.5e-06, 'epoch': 85.0}
{'loss': 1.9384, 'learning_rate': 7.000000000000001e-06, 'epoch': 86.0}
{'loss': 1.9363, 'learning_rate': 6.5000000000000004e-06, 'epoch': 87.0}
{'loss': 1.9321, 'learning_rate': 6e-06, 'epoch': 88.0}
{'loss': 1.9307, 'learning_rate': 5.500000000000001e-06, 'epoch': 89.0}
{'loss': 1.929, 'learning_rate': 5e-06, 'epoch': 90.0}
{'loss': 1.9274, 'learning_rate': 4.5e-06, 'epoch': 91.0}
{'loss': 1.9287, 'learning_rate': 4.000000000000001e-06, 'epoch': 92.0}
{'loss': 1.9289, 'learning_rate': 3.5000000000000004e-06, 'epoch': 93.0}
{'loss': 1.9283, 'learning_rate': 3e-06, 'epoch': 94.0}
{'loss': 1.9293, 'learning_rate': 2.5e-06, 'epoch': 95.0}
{'loss': 1.9305, 'learning_rate': 2.0000000000000003e-06, 'epoch': 96.0}
{'loss': 1.9267, 'learning_rate': 1.5e-06, 'epoch': 97.0}
{'loss': 1.9288, 'learning_rate': 1.0000000000000002e-06, 'epoch': 98.0}
{'loss': 1.9257, 'learning_rate': 5.000000000000001e-07, 'epoch': 99.0}
{'loss': 1.9259, 'learning_rate': 0.0, 'epoch': 100.0}
{'train_runtime': 791.5881, 'train_samples_per_second': 185.955, 'train_steps_per_second': 11.622, 'train_loss': 2.1120319266941237, 'epoch': 100.0}
***** train metrics *****
  epoch                    =      100.0
  train_loss               =      2.112
  train_runtime            = 0:13:11.58
  train_samples            =       1472
  train_samples_per_second =    185.955
  train_steps_per_second   =     11.622
